STM0001	thr operon leader peptide
STM0759	hypothetical protein
STM0760	3-deoxy-7-phosphoheptulonate synthase
STM0761	fumarate hydratase Class I anaerobic
STM0762	fumarate hydratase
STM0763	transcriptional regulator, lysR family
STM0764	transcriptional regulator, lysR family
STM0765	putative cation transporter
STM0766	oxaloacetate decarboxylase subunit gamma
STM0768	oxaloacetate decarboxylase subunit beta
STM0769	hypothetical protein
STM0770	iron ABC transporter permease
STM0771	iron ABC transporter
STM0772	phosphoglyceromutase
STM0773	galactose-1-epimerase
STM0774	galactokinase
STM0775	galactose-1-phosphate uridylyltransferase
STM0776	UDP-glucose 4-epimerase
STM0777	hypothetical protein
STM0778	molybdate ABC transporter ATP-binding protein ModF
STM0779	molybdenum-dependent transcriptional regulator
STM0780	multidrug efflux pump-associated protein, AcrZ family
STM0781	molybdate ABC transporter substrate-binding protein
STM0782	molybdate ABC transporter permease
STM0783	molybdenum ABC transporter ATP-binding protein
STM0784	pyridoxal phosphatase
STM0785	6-phosphogluconolactonase
STM0786	acyl-CoA thioesterase
STM0787	imidazolonepropionase
STM0788	formimidoylglutamase
STM0789	histidine utilization repressor
STM0791	histidine ammonia-lyase
STM0792	kinase inhibitor
STM0793	adenosylmethionine--8-amino-7-oxononanoate transaminase
STM0794	biotin synthase
STM0795	8-amino-7-oxononanoate synthase
STM0796	malonyl-ACP O-methyltransferase BioC
STM0797	dethiobiotin synthase
STM0798	excinuclease ABC subunit B
STM0799	hypothetical protein
STM0800	E3 ubiquitin--protein ligase
STM0801	hypothetical protein
STM0802	cyclic pyranopterin phosphate synthase
STM0803	molybdenum cofactor biosynthesis protein B
STM0804	molybdenum cofactor biosynthesis protein C
STM0805	molybdopterin biosynthesis protein
STM0806	molybdenum cofactor biosynthesis protein MoaE
STM0807	hypothetical protein
STM0808	hypothetical protein
STM0809	putative inner membrane protein
STM0810	hypothetical protein
STM0811	hypothetical protein
STM0812	cardiolipin synthase B
STM0813	hypothetical protein
STM0814	hypothetical protein
STM0815	ABC transporter permease
STM0816	ABC transporter permease
STM0817	multidrug ABC transporter ATP-binding protein
STM0818	secretion protein HlyD
STM0819	transcriptional regulator
STM0820	ATP-dependent RNA helicase RhlE
STM0821	ATP-dependent DNA helicase DinG
STM0822	DNA-binding protein YbiB
STM0823	hypothetical protein
STM0825	hypothetical protein
STM0826	23S rRNA (adenine(1618)-N(6))-methyltransferase
STM0827	mechanosensitive channel protein
STM0828	glutamine ABC transporter ATP-binding protein
STM0829	glutamine ABC transporter permease GlnP
STM0830	glutamine ABC transporter substrate-binding protein GlnH
STM0831	DNA starvation/stationary phase protection protein Dps
STM0832	threonine/homoserine exporter RhtA
STM0833	outer membrane protein OmpX
STM0834	phosphoethanolamine transferase
STM0835	transcriptional regulator MntR
STM0836	anion transporter
STM0837	L,D-transpeptidase
STM0838	ABC-F family ATPase
STM0839	putative inner membrane protein
STM0840	sugar-phosphatase
STM0841	hypothetical protein
STM0842	sugar-phosphatase
STM0843	glycyl radical enzyme
STM0844	pyruvate formate lyase-activating protein
STM0845	molybdopterin-synthase adenylyltransferase MoeB
STM0846	molybdopterin biosynthesis protein
STM0847	beta-aspartyl-peptidase
STM0848	glutathione ABC transporter ATP-binding protein GsiA
STM0849	glutathione ABC transporter substrate-binding protein GsiB
STM0850	glutathione ABC transporter permease GsiC
STM0851	glutathione ABC transporter permease GsiD
STM0852	ribosomal protein S12 methylthiotransferase
STM0853	transcriptional regulator
STM0854	CoA ester lyase
STM0855	putative electron transfer flavoprotein beta subunit
STM0856	electron transfer flavoprotein subunit alpha
STM0857	putative acyl-CoA dehydrogenase
STM0858	electron transfer flavoprotein-ubiquinone oxidoreductase
STM0859	putative LysR family transcriptional regulator
STM0860	hypothetical protein
STM0861	putative dehydrogenase
STM0862	putative glutathione S-transferase
STM0863	serine-type D-Ala-D-Ala carboxypeptidase
STM0864	DNA-binding transcriptional repressor DeoR
STM0865	undecaprenyl-diphosphate phosphatase
STM0866	multidrug transporter MdfA
STM0867	sugar-phosphatase
STM0868	hypothetical protein
STM0869	DNA-binding transcriptional regulator
STM0870	transporter
STM0871	hypothetical protein
STM0872	glutaredoxin
STM0873	hypothetical protein
STM0874	nitroreductase A
STM0875	ribosomal protein S6 modification protein
STM0876	hypothetical protein
STM0877	spermidine/putrescine ABC transporter substrate-binding protein PotF
STM0878	ABC transporter ATP-binding protein
STM0879	putrescine ABC transporter permease PotH
STM0880	putrescine ABC transporter permease PotI
STM0881	hypothetical protein
STM0882	23S rRNA (uracil(747)-C(5))-methyltransferase
STM0884	PTS ascorbate transporter subunit IIC
STM0885	PTS sugar transporter IIB
STM0886	putative sulfatase
STM0887	arginine ABC transporter substrate-binding protein
STM0888	arginine transporter permease subunit ArtM
STM0889	arginine transporter permease subunit ArtQ
STM0890	arginine ABC transporter substrate-binding protein
STM0891	arginine ABC transporter ATP-binding protein ArtP
STM0892	putative lipoprotein
STM0893	putative Fels-1 prophage integrase
STM0894	putative Fels-1 prophage excisionase
STM0895	Fels-1 prophage protein
STM0896	Fels-1 prophage protein
STM0897	Fels-1 prophage protein
STM0898	predicted Fels-1 prophage transcriptional regulator
STM0898A	Fels-1 prophage protein
STM0899	Fels-1 prophage protein
STM0900	putative Fels-1 prophage DNA or RNA helicases of superfamily II
STM0901	Fels-1 putative prophage DNA primase
STM0902	Fels-1 prophage protein
STM0903	putative Fels-1 prophage chaparone
STM0904	Fels-1 prophage protein
STM0905	Fels-1 prophage hypothetical protein
STM0906	Fels-1 prophage protein
STM0907	putative Fels-1 prophage chitinase
STM0908	Fels-1 prophage protein
STM0909	Fels-1 prophage protein
STM0910	Fels-1 prophage protein
STM0911	Fels-1 prophage protein
STM0912	Fels-1 prophage protease subunits of ATP-dependent proteases
STM0913	Fels-1 prophage protein
STM0914	putative Fels-1 phage tail component
STM0915	Fels-1 prophage protein
STM0916	putative Fels-1 prophage major tail protein
STM0917	putative Fels-1 prophage minor tail protein
STM0918	putative Fels-1 prophage minor tail protein
STM0919	putative Fels-1 prophage minor tail protein
STM0920	Fels-1 prophage attachment and invasion protein
STM0921	putative Fels-1 prophage minor tail protein
STM0922	putative Fels-1 prophage tail assembly protein
STM0923	putative Fels-1 prophage tail assembly protein
STM0924	putative Fels-1 prophage Cu/Zn superoxide dismutase
STM0925	putative Fels-1 prophage host specificity protein
STM0926	putative Fels-1 prophage minor tail protein
STM0927	putative Fels-1 prophage tail assembly protein
STM0928	sialidase
STM0929	putative inner membrane protein
STM0930	hypothetical protein
STM0931	N-acetylmuramoyl-L-alanine amidase
STM0932	hypothetical protein
STM0933	NAD(P)-dependent oxidoreductase
STM0934	low-specificity L-threonine aldolase
STM0935	pyruvate oxidase
STM0936	NADH oxidoreductase for hcp gene product
STM0937	hydroxylamine reductase
STM0938	hypothetical protein
STM0939	ATP-dependent endonuclease
STM0940	homolog of virK
STM0941	macrolide transporter subunit MacA
STM0942	putative ABC superfamily (atp&memb) transport protein
STM0943	cold shock domain protein CspD
STM0944	ATP-dependent Clp protease adapter ClpS
STM0945	ATP-dependent Clp protease ATP-binding subunit ClpA
STM0946	IS200/IS605 family transposase
STM0950	hydrolase
STM0951	quercetin 2,3-dioxygenase
STM0952	LysR family transcriptional regulator
STM0953	translation initiation factor IF-1
STM0954	hypothetical protein
STM0955	leucyl/phenylalanyl-tRNA--protein transferase
STM0956	cysteine/glutathione ABC transporter ATP-binding protein/permease CydC
STM0957	cysteine/glutathione ABC transporter permease/ATP-binding protein CydD
STM0958	thioredoxin-disulfide reductase
STM0959	leucine-responsive transcriptional regulator
STM0960	DNA translocase FtsK
STM0961	periplasmic protein
STM0962	recombination factor protein RarA
STM0963	serine--tRNA ligase
STM0964	dimethylsulfoxide reductase subunit A
STM0965	dimethylsulfoxide reductase, chain B
STM0966	dimethyl sulfoxide reductase
STM0968	MFS transporter
STM0969	transporter
STM0970	pyruvate formate lyase activating enzyme 1
STM0971	putative cytoplasmic protein
STM0972	pathogenicity island 1 protein SopD2
STM0973	formate C-acetyltransferase
STM0974	formate transporter FocA
STM0975	ribosomal protein S12 methylthiotransferase accessory factor YcaO
STM0976	hypothetical protein
STM0977	phosphoserine transaminase
STM0978	3-phosphoshikimate 1-carboxyvinyltransferase
STM0979	metalloprotease
STM0980	cytidylate kinase
STM0981	30S ribosomal protein S1
STM0982	integration host factor subunit beta
STM0983	ComEC family protein
STM0984	lipid ABC transporter permease/ATP-binding protein
STM0985	tetraacyldisaccharide 4'-kinase
STM0986	hypothetical protein
STM0987	hypothetical protein
STM0988	3-deoxy-manno-octulosonate cytidylyltransferase
STM0989	hypothetical protein
STM0990	hypothetical protein
STM0991	tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM
STM0992	condensin subunit MukF
STM0993	chromosome partitioning protein MukE
STM0994	cell division protein MukB
STM0995	L,D-transpeptidase
STM0996	hypothetical protein
STM0997	hypothetical protein
STM0998	aromatic amino acid aminotransferase
STM0999	phosphoporin PhoE
STM1000	asparagine--tRNA ligase
STM1001	putative leucine response regulator
STM1002	diaminopropionate ammonia-lyase
STM1003	amino acid:proton symporter
STM1004	nicotinate phosphoribosyltransferase
STM1005	Gifsy-2 prophage integrase
STM1006	Gifsy-2 prophage excisionase
STM1007	Gifsy-2 prophage protein
STM1008	Gifsy-2 prophage protein
STM1009	Gifsy-2 prophage exodeoxyribonuclease
STM1010	Gifsy-2 prophage protein
STM1011	Gifsy-2 prophage protein
STM1012	Gifsy-2 prophage putative regulatory protein
STM1013	Gifsy-2 prophage putative regulatory protein
STM1014	Gifsy-2 prophage putative regulatory protein
STM1015	Gifsy-2 prophage ATPase involved in DNA replication initiation
STM1016	Gifsy-2 prophage protein
STM1017	Gifsy-2 prophage protein
STM1018	Gifsy-2 prophage protein
STM1019	Gifsy-2 prophage protein
STM1020	Gifsy-2 prophage protein
STM1021	Gifsy-2 prophage protein
STM1022	Gifsy-2 prophage putative molecular chaperone, DnaJ family
STM1023	Gifsy-2 prophage protein
STM1024	Gifsy-2 prophage protein
STM1025	Gifsy-2 prophage protein
STM1026	Gifsy-2 prophage protein
STM1027	Gifsy-2 prophage protein
STM1028	Gifsy-2 prophage lysozyme
STM1029	Gifsy-2 prophage protein
STM1030	Gifsy-2 prophage protein
STM1031	Gifsy-2 prophage protein
STM1032	Gifsy-2 prophage protein
STM1033	Gifsy-2 prophage Clp protease-like protein
STM1034	Gifsy-2 prophage putative RecA/RadA recombinase
STM1035	Gifsy-2 prophage ATP-binding sugar transporter-like protein
STM1036	Gifsy-2 prophage probable minor tail protein
STM1037	Gifsy-2 prophage probable minor tail protein
STM1038	Gifsy-2 prophage probable major tail protein
STM1039	Gifsy-2 prophage probable minor tail protein
STM1040	Gifsy-2 prophage probable minor tail protein
STM1041	Gifsy-2 prophage probable minor tail protein
STM1042	Gifsy-2 prophage probable minor tail protein
STM1043	Gifsy-2 prophage attachment and invasion protein homolog
STM1044	Gifsy-2 prophage superoxide dismutase precursor (Cu-Zn)
STM1045	Gifsy-2 prophage probable minor tail protein
STM1046	Gifsy-2 prophage probable tail assembly protein
STM1047	Gifsy-2 prophage probable tail assembly protein
STM1048	Gifsy-2 prophage host specificity protein J, phage lambda
STM1049	Gifsy-2 prophage probable tail fiber protein
STM1050	Gifsy-2 prophage tail fiber assembly like-protein
STM1051	Gifsy-2 prophage putative type III secreted protein
STM1053	Gifsy-2 prophage protein
STM1054	Gifsy-2 prophage protein
STM1055	Gifsy-2 prophage protein
STM1056	Gifsy-2 prophage protein
STM1057	aminopeptidase N
STM1058	dihydroorotate dehydrogenase (quinone)
STM1059	cell division protein ZapC
STM1060	hypothetical protein
STM1061	23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase
STM1062	ABC transporter ATP-binding protein
STM1063	paraquat-inducible protein A
STM1064	paraquat-inducible protein B
STM1065	hypothetical protein
STM1066	ribosome modulation factor
STM1067	3-hydroxyacyl-[acyl-carrier-protein
STM1068	Lon protease
STM1069	Ter macrodomain-binding protein MatP
STM1070	porin OmpA
STM1071	cell division inhibitor SulA
STM1072	Crp/Fnr family transcriptional regulator
STM1073	TIGR01666 family membrane protein
STM1074	hypothetical protein
STM1075	DNA helicase IV
STM1076	methylglyoxal synthase
STM1077	hypothetical protein
STM1078	putative cytoplasmic protein
STM1079	heat-shock protein HspQ
STM1080	23S rRNA (cytosine(1962)-C(5))-methyltransferase
STM1081	kinase inhibitor
STM1082	AraC family transcriptional regulator
STM1083	acylphosphatase
STM1084	sulfurtransferase TusE
STM1085	BAX inhibitor protein
STM1087	virulence protein
STM1088	effector protein PipB
STM1089	Pathogenicity island encoded protein: SPI5
STM1090	type III secretion chaperone protein SigE
STM1091	inositol phosphatase
STM1092	DUF3950 domain-containing protein
STM1093	hypothetical protein
STM1094	dipeptidase
STM1095	two-component sensor histidine kinase
STM1096	Copper resistance transcriptional regulatory protein
STM1097	hydroxyisourate hydrolase
STM1098	4-hydroxyphenylacetate 3-monooxygenase, reductase component
STM1099	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
STM1100	homoprotocatechuate degradation operon regulator, HpaR
STM1101	4-hydroxyphenylacetate degradation protein
STM1102	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
STM1103	3,4-dihydroxyphenylacetate 2,3-dioxygenase
STM1104	5-carboxymethyl-2-hydroxymuconate delta-isomerase
STM1105	2-oxo-hepta-3-ene-1,7-dioic acid hydratase
STM1106	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
STM1107	4-hydroxyphenylacetate permease
STM1108	4-hydroxyphenylacetate catabolism regulatory protein HpaA
STM1109	MBL fold metallo-hydrolase
STM1110	anti-adapter protein IraM
STM1111	chaperone-modulator protein CbpM
STM1112	DNA-binding protein
STM1113	copper resistance protein
STM1114	protein-disulfide reductase
STM1115	disulfide bond formation protein DsbA
STM1116	protein disulfide oxidoreductase
STM1117	bifunctional glucose-1-phosphatase/inositol phosphatase
STM1118	hypothetical protein
STM1119	NAD(P)H:quinone oxidoreductase, type IV
STM1121	stress-induced protein
STM1122	pyrimidine utilization regulatory protein R
STM1123	hypothetical protein
STM1124	trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
STM1125	sodium/proline symporter
STM1126	phosphate starvation protein PhoH
STM1127	N-acetylmannosamine kinase
STM1128	acetylneuraminate ABC transporter
STM1129	N-acetylmannosamine-6-phosphate 2-epimerase
STM1130	N-acetylneuraminic acid mutarotase
STM1131	hypothetical protein
STM1132	MFS transporter
STM1133	putative dehydrogenases and related proteins
STM1135	bifunctional glyoxylate/hydroxypyruvate reductase A
STM1136	phosphatase
STM1137	molecular chaperone
STM1138	putative inner membrane protein
STM1139	curli production assembly/transport protein CsgG
STM1140	curli assembly protein CsgF
STM1141	curli assembly protein CsgE
STM1142	transcriptional regulator CsgD
STM1143	curli minor subunit precursor
STM1144	curli major subunit
STM1145	Curli assembly protein CsgC
STM1146	hypothetical protein
STM1147	O-acetyl-ADP-ribose deacetylase
STM1148	putative phospholipase
STM1149	membrane protein
STM1150	periplasmic glucans biosynthesis protein
STM1151	glucan biosynthesis glucosyltransferase H
STM1152	hypothetical protein
STM1153	secY/secA suppressor protein
STM1154	multidrug transporter subunit MdtG
STM1155	lipid A biosynthesis lauroyl acyltransferase
STM1156	hypothetical protein
STM1157	hypothetical protein
STM1158	cytochrome B
STM1159	DUF2770 domain-containing protein
